Route stop,Business,Hero image URL,Hero image source,HTTP status,Final URL,Content type,Fetched bytes,Fetch milliseconds,Error
1,MO's Deli & Cafe,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1800&q=80,Category-relevant cafe image from Unsplash,200,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,66,
2,Michele's Hair Care,https://images.unsplash.com/photo-1562322140-8baeececf3df?auto=format&fit=crop&w=1800&q=80,Category-relevant hairdresser image from Unsplash,200,https://images.unsplash.com/photo-1562322140-8baeececf3df?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,43,
3,Belmont Dental,https://images.unsplash.com/photo-1629909613654-28e377c37b09?auto=format&fit=crop&w=1800&q=80,Category-relevant dentist image from Unsplash,200,https://images.unsplash.com/photo-1629909613654-28e377c37b09?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,40,
4,Pilgrim Kitchen,https://images.unsplash.com/photo-1517433670267-08bbd4be890f?auto=format&fit=crop&w=1800&q=80,Category-relevant bakery image from Unsplash,200,https://images.unsplash.com/photo-1517433670267-08bbd4be890f?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,42,
5,SeeU Cafe,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1800&q=80,Category-relevant cafe image from Unsplash,200,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,66,
6,Java Blue (Patio Coffee Shop),https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
7,Sunesy Hair Design,https://images.unsplash.com/photo-1562322140-8baeececf3df?auto=format&fit=crop&w=1800&q=80,Category-relevant hairdresser image from Unsplash,200,https://images.unsplash.com/photo-1562322140-8baeececf3df?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,43,
8,The Pantry,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
9,Bucky’s Cocktail Lounge,https://images.unsplash.com/photo-1572116469696-31de0f17cc34?auto=format&fit=crop&w=1800&q=80,Category-relevant bar image from Unsplash,200,https://images.unsplash.com/photo-1572116469696-31de0f17cc34?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,40,
10,Spiedo Restaurant,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
