Route stop,Business,Profile link,HTTP status,Final URL,Content type,Reachable/host responded,Fetched bytes,Fetch milliseconds,Error
1,MO's Deli & Cafe,https://www.yelp.com/biz/mo-s-deli-and-cafe-belmont,403,https://www.yelp.com/biz/mo-s-deli-and-cafe-belmont,text/html;charset=utf-8,YES,0,102,
2,Michele's Hair Care,https://www.instagram.com/micheleshairboutique/,200,https://www.instagram.com/micheleshairboutique/,"text/html; charset=""utf-8""",YES,0,327,
6,Java Blue (Patio Coffee Shop),https://www.yelp.com/biz/java-blue-san-mateo-2,403,https://www.yelp.com/biz/java-blue-san-mateo-2,text/html;charset=utf-8,YES,0,91,
7,Sunesy Hair Design,https://www.fresha.com/a/sunesy-hair-salon-san-mateo-2335-south-el-camino-real-qrpp8w1n,200,https://www.fresha.com/a/sunesy-hair-salon-san-mateo-2335-south-el-camino-real-qrpp8w1n,text/html; charset=utf-8,YES,0,98,
8,The Pantry,https://www.yelp.com/biz/the-pantry-san-mateo-2,403,https://www.yelp.com/biz/the-pantry-san-mateo-2,text/html;charset=utf-8,YES,0,92,
9,Bucky’s Cocktail Lounge,https://www.facebook.com/buckyscocktaillounge/,200,https://www.facebook.com/buckyscocktaillounge/,"text/html; charset=""utf-8""",YES,0,503,
11,Izakaya Mai,https://www.yelp.com/biz/izakaya-mai-san-mateo,403,https://www.yelp.com/biz/izakaya-mai-san-mateo,text/html;charset=utf-8,YES,0,106,
13,L'Vian Boutique,https://www.yelp.com/biz/l-vian-boutique-burlingame,403,https://www.yelp.com/biz/l-vian-boutique-burlingame,text/html;charset=utf-8,YES,0,100,
14,V&V Nails,https://www.yelp.com/biz/v-and-v-nails-millbrae,403,https://www.yelp.com/biz/v-and-v-nails-millbrae,text/html;charset=utf-8,YES,0,98,
15,De Design,https://www.yelp.com/biz/de-design-beauty-salon-millbrae,403,https://www.yelp.com/biz/de-design-beauty-salon-millbrae,text/html;charset=utf-8,YES,0,87,
17,San Bruno Transmission & Auto Repair,https://www.yelp.com/biz/san-bruno-transmissions-and-auto-repair-san-bruno,403,https://www.yelp.com/biz/san-bruno-transmissions-and-auto-repair-san-bruno,text/html;charset=utf-8,YES,0,92,
18,Fil-Am Cuisine 2,https://www.facebook.com/FilAmCuisine2/,200,https://www.facebook.com/FilAmCuisine2/,"text/html; charset=""utf-8""",YES,0,409,
19,South City Hair,https://www.yelp.com/biz/south-city-hair-south-san-francisco,403,https://www.yelp.com/biz/south-city-hair-south-san-francisco,text/html;charset=utf-8,YES,0,101,
21,Round N Round Pot,https://www.yelp.com/biz/round-n-round-pot-brisbane,403,https://www.yelp.com/biz/round-n-round-pot-brisbane,text/html;charset=utf-8,YES,0,89,
22,Pupuseria El Golazo,https://www.instagram.com/pizzeria_el_golazo/,200,https://www.instagram.com/pizzeria_el_golazo/,"text/html; charset=""utf-8""",YES,0,311,
24,Taqueria La Iguana Azul,https://www.yelp.com/biz/taqueria-la-iguana-azul-san-francisco,403,https://www.yelp.com/biz/taqueria-la-iguana-azul-san-francisco,text/html;charset=utf-8,YES,0,91,
26,Western Donuts,https://www.yelp.com/biz/western-donuts-san-francisco,403,https://www.yelp.com/biz/western-donuts-san-francisco,text/html;charset=utf-8,YES,0,73,
28,Taqueria Mi Sazon,https://www.instagram.com/misazonsf/,200,https://www.instagram.com/misazonsf/,"text/html; charset=""utf-8""",YES,0,311,
29,Hayden Auto Care,https://www.yelp.com/biz/hayden-auto-care-san-francisco,403,https://www.yelp.com/biz/hayden-auto-care-san-francisco,text/html;charset=utf-8,YES,0,75,
30,Excelsior Auto Care,https://www.yelp.com/biz/excelsior-auto-care-san-francisco?start=40,403,https://www.yelp.com/biz/excelsior-auto-care-san-francisco?start=40,text/html;charset=utf-8,YES,0,73,
31,BeeFadezz,https://www.instagram.com/beefadezz/,200,https://www.instagram.com/beefadezz/,"text/html; charset=""utf-8""",YES,0,318,
32,Da Pan,https://www.yelp.com/biz/da-pan-san-francisco?start=40,403,https://www.yelp.com/biz/da-pan-san-francisco?start=40,text/html;charset=utf-8,YES,0,94,
35,Mahogany House of Styles,https://www.facebook.com/pages/Mahogany-House-of-Styles/163051533723346,200,https://www.facebook.com/pages/Mahogany-House-of-Styles/163051533723346,"text/html; charset=""utf-8""",YES,0,245,
36,Java on Ocean Cafe,https://www.yelp.com/biz/java-on-ocean-coffee-house-san-francisco-2,403,https://www.yelp.com/biz/java-on-ocean-coffee-house-san-francisco-2,text/html;charset=utf-8,YES,0,91,
38,Sakesan Sushi & Robata,https://www.yelp.com/biz/sakesan-sushi-and-robata-san-francisco-6,403,https://www.yelp.com/biz/sakesan-sushi-and-robata-san-francisco-6,text/html;charset=utf-8,YES,0,92,
39,Go Go 7,https://www.yelp.com/biz/go-go-7-san-francisco-4,403,https://www.yelp.com/biz/go-go-7-san-francisco-4,text/html;charset=utf-8,YES,0,86,
40,TS cafe,https://www.yelp.com/biz/ts-cafe-san-francisco-5,403,https://www.yelp.com/biz/ts-cafe-san-francisco-5,text/html;charset=utf-8,YES,0,60,
41,Unique Automotive,https://www.yelp.com/biz/unique-automotive-san-francisco,403,https://www.yelp.com/biz/unique-automotive-san-francisco,text/html;charset=utf-8,YES,0,69,
42,Los Planes de Renderos,https://www.yelp.com/biz/los-planes-de-renderos-pupuseria-san-francisco,403,https://www.yelp.com/biz/los-planes-de-renderos-pupuseria-san-francisco,text/html;charset=utf-8,YES,0,77,
43,Pacitas Salvadorean Bakery,https://www.yelp.com/biz/pacitas-salvadorean-bakery-san-francisco,403,https://www.yelp.com/biz/pacitas-salvadorean-bakery-san-francisco,text/html;charset=utf-8,YES,0,77,
